50.00000000 -0.12758581 0.00927663 -0.13686244
100.00000000 -0.15831091 0.02306810 -0.18137901
150.00000000 -0.16986942 0.04270511 -0.21257453
200.00000000 -0.17139907 0.05378698 -0.22518605
250.00000000 -0.17147356 0.05686984 -0.22834340
300.00000000 -0.17140812 0.05701613 -0.22842425
350.00000000 -0.17096486 0.05689398 -0.22785884
400.00000000 -0.17157638 0.05709803 -0.22867441
450.00000000 -0.17079514 0.05687064 -0.22766578
500.00000000 -0.17129688 0.05702279 -0.22831967
550.00000000 -0.17111802 0.05699345 -0.22811148
600.00000000 -0.17144527 0.05706289 -0.22850816
650.00000000 -0.17129451 0.05704530 -0.22833981
700.00000000 -0.17153605 0.05714549 -0.22868155
750.00000000 -0.17128614 0.05704242 -0.22832856
800.00000000 -0.17053409 0.05678653 -0.22732063
850.00000000 -0.17192660 0.05727688 -0.22920348
900.00000000 -0.17104073 0.05696833 -0.22800906
950.00000000 -0.17148028 0.05712354 -0.22860382
1000.00000000 -0.17127647 0.05705869 -0.22833516
1050.00000000 -0.17127789 0.05706349 -0.22834139
1100.00000000 -0.17175873 0.05722601 -0.22898474
1150.00000000 -0.17106140 0.05697797 -0.22803937
1200.00000000 -0.17153255 0.05716414 -0.22869669
1250.00000000 -0.17118001 0.05702392 -0.22820394
1300.00000000 -0.17110869 0.05700255 -0.22811124
1350.00000000 -0.17128623 0.05707402 -0.22836025
1400.00000000 -0.17143479 0.05713275 -0.22856754
1450.00000000 -0.17067927 0.05692272 -0.22760199
1500.00000000 -0.17144388 0.05713375 -0.22857763
1550.00000000 -0.17080929 0.05697609 -0.22778538
1600.00000000 -0.17147145 0.05715135 -0.22862279
1650.00000000 -0.17131006 0.05708994 -0.22839999
1700.00000000 -0.17084274 0.05693401 -0.22777675
1750.00000000 -0.17172401 0.05724005 -0.22896406
1800.00000000 -0.17129502 0.05709572 -0.22839074
1850.00000000 -0.17159618 0.05719448 -0.22879066
1900.00000000 -0.17140735 0.05709329 -0.22850063
1950.00000000 -0.17159445 0.05717506 -0.22876951
2000.00000000 -0.17123182 0.05705623 -0.22828805
2050.00000000 -0.17144928 0.05712466 -0.22857393
2100.00000000 -0.17132190 0.05707951 -0.22840141
2150.00000000 -0.17080908 0.05690592 -0.22771500
2200.00000000 -0.17100696 0.05698157 -0.22798853
2250.00000000 -0.17139309 0.05711890 -0.22851199
2300.00000000 -0.17076420 0.05689834 -0.22766253
2350.00000000 -0.17106239 0.05700604 -0.22806843
2400.00000000 -0.17196311 0.05730578 -0.22926889
2450.00000000 -0.17131440 0.05708138 -0.22839577
2500.00000000 -0.17191008 0.05728957 -0.22919965
2550.00000000 -0.17100555 0.05697158 -0.22797713
2600.00000000 -0.17196434 0.05731153 -0.22927587
2650.00000000 -0.17134199 0.05709752 -0.22843951
2700.00000000 -0.17147592 0.05714689 -0.22862281
2750.00000000 -0.17166447 0.05721250 -0.22887696
2800.00000000 -0.17155073 0.05717134 -0.22872207
2850.00000000 -0.17109622 0.05701783 -0.22811405
2900.00000000 -0.17071333 0.05689011 -0.22760344
2950.00000000 -0.17064359 0.05687035 -0.22751394
3000.00000000 -0.17179997 0.05726359 -0.22906356
3050.00000000 -0.17175638 0.05723937 -0.22899576
3100.00000000 -0.17143443 0.05714044 -0.22857487
3150.00000000 -0.17174851 0.05724316 -0.22899167
3200.00000000 -0.17170043 0.05722472 -0.22892515
3250.00000000 -0.17140522 0.05713243 -0.22853765
3300.00000000 -0.17135120 0.05710058 -0.22845177
3350.00000000 -0.17183664 0.05720464 -0.22904128
3400.00000000 -0.17152202 0.05626817 -0.22779019
3450.00000000 -0.17248493 0.05669714 -0.22918206
3500.00000000 -0.17233482 0.05745452 -0.22978933
3550.00000000 -0.17176582 0.05674996 -0.22851577
3600.00000000 -0.17155867 0.05705896 -0.22861764
3650.00000000 -0.17186292 0.05721354 -0.22907646
3700.00000000 -0.17122251 0.05684808 -0.22807059
3750.00000000 -0.17240667 0.05738058 -0.22978725
3800.00000000 -0.17214356 0.05697252 -0.22911608
3850.00000000 -0.17194400 0.05724743 -0.22919144
3900.00000000 -0.17298645 0.05746765 -0.23045410
3950.00000000 -0.17169831 0.05712085 -0.22881916
4000.00000000 -0.17203932 0.05726084 -0.22930016
4050.00000000 -0.17221056 0.05738993 -0.22960049
4100.00000000 -0.17220994 0.05758023 -0.22979017
4150.00000000 -0.17185427 0.05724138 -0.22909565
4200.00000000 -0.17207068 0.05724861 -0.22931929
4250.00000000 -0.17174090 0.05715801 -0.22889891
4300.00000000 -0.17173194 0.05723057 -0.22896251
4350.00000000 -0.17202855 0.05734425 -0.22937280
4400.00000000 -0.17253858 0.05743973 -0.22997831
4450.00000000 -0.17250547 0.05772011 -0.23022558
4500.00000000 -0.17263780 0.05754761 -0.23018540
4550.00000000 -0.17185754 0.05725483 -0.22911237
4600.00000000 -0.17176042 0.05758402 -0.22934444
4650.00000000 -0.17144876 0.05707959 -0.22852835
4700.00000000 -0.17117440 0.05658228 -0.22775668
4750.00000000 -0.17221251 0.05736756 -0.22958007
4800.00000000 -0.17237948 0.05746498 -0.22984445
4850.00000000 -0.17264464 0.05756158 -0.23020622
4900.00000000 -0.17170231 0.05731049 -0.22901280
4950.00000000 -0.17246057 0.05742790 -0.22988847
5000.00000000 -0.17151937 0.05714212 -0.22866149
5050.00000000 -0.17204335 0.05738199 -0.22942534
5100.00000000 -0.17204696 0.05731463 -0.22936159
5150.00000000 -0.17185256 0.05734956 -0.22920212
5200.00000000 -0.17183815 0.05726482 -0.22910297
